,comment
72,Cháu tui mới nghe câu_đầu thì khóc_thét ha ha ha ... cháu tui sợ xanh mặt bài hát này luôn 🤣 🤣 🤣 🤣
73,Bum cha ca la ca bumbum 🤣
74,👏 👏 👏
75,Nghe r tui sợ Băc_Kim_Thang
76,nghe kĩ thì trong giàu vì bạn sang vì vợ thì có giọng của tlinh
77,"06 : 40 Đông về tay anh lạnh lắm , nhưng anh vẫn sẵn_lòng sưởi ấm tay em . ⚒"
78,MCK : 3
79,để tóc dài xong dùng keo 502 vuốt kiểu goku :)))))
80,:)
81,Bật x2 để nghe :))
82,Tại_sao k có vì e so deep : (
83,Tuy idol mk là ĐEN_VÂU nhưng mk vẫn thay hay
84,giời hơn chục triệu luôn r :)))
85,wowwww
86,cài ít qc thoy ad ơi
87,DJ Mie kìa .
88,Đù má hồi xưa ngáo cả vài tháng cứ lẩm_bẩm suốt ngày bác kim thang là bác kim thang 🤣
89,2.0 max ae ạ
90,King vs Qeen nữa chứ ... kaido mô
91,Rap mới 12 câu đã đc nón vàng r vl
92,Xịn quá : > ¤ ♡
93,vẫn thjck bài của nhóm karic
94,Top1 nhe
95,Where is Hông dám_đâu . - .
96,Bài về bethooven trapin
97,giàu vì bạn sang vì vợ là số 1 ai cũng thuộc
98,1 : 22 có ma : C
99,Số người giờ vẫn xem
100,wowwww
101,chất như nước_cất !
102,Freestyle nghe xong chắc nhục lắm nhỡ :))
103,Không có bài của tem biz là thiếu rùi b ơi
104,đây là rap việt với bắc kim thang vẫn hay nhất
105,Đeo tai phone bật hết model nghe đã tai 🤩 🤩 🤩
106,Bắc kim thang :)))
107,Karik nhảy vẫn chất nhất trong hội RAP_VIET
108,Dân_chơi xóm vẫn hay vl
109,Quá tr hay lun á
110,Sao thuộc được bài hát nhanh hay vậy trời
111,GREAT ❤ ️ ❤ ️ ❤ ️
112,Đúng là đỉnh_cao của ráp việt
113,Year giàu vì bạn sang vì vợ
114,"rất hiếm khi mình nghe rap , giờ nghe các bạn hát hay quá"
115,binz tôi cùng e làm lên lịch_sử :)
116,3 : 34
117,MCKKKKK
118,Em Xi Kiiiiiiiiiiiiiii
119,Bắc kim thang nghe ma_mị vch
120,Bắc kim thang . Nghe N lần k chán 😆
121,Đỉnh
122,Rap đỉnh nhất
123,"xem màn trình_diễn "" Giàu vì bạn sang vì vợ "" nhìn Binz như kiểu muốn nói với 16 "" bị loại mà vui vậy em """
124,Đỉnh
125,đúng như đam_mê của mình
126,04 : 33 Hôm_nay Faceboook chỉ có 1 like : ôi cả thế_giới đang bỏ_rơi mình . 🚂
127,Bắc kim thang đã đưa tuổi_thơ của tôi lên một tầm cao mới . Thật_sự nghe nổi hết cả da gà luôn ý . Y_hệt mấy bài kinh_dị 😖
128,7 : 24
129,fan ricky
130,Amazing goodchop em
131,2021
132,RPT MCK 🎯 ❤
133,nghe hết_hồn á
134,Ko có bình gold nhỉ 😂 😂 😂
135,Tiền nhiều để làm j đâu + 3 noi đăng cũng gần 20 tr view mà
136,Có bài côn_đồ trên con đò là beat luôn
137,Bài này là bài hay nhất 🤤
138,"0 : 23 , editer bị lỗi r . bạn chưa thi nhưng đã có 4 nón :))"
139,Dân chới xóm quá chất mà chất kéo_dài
140,Love Rap Việt
141,bật 1.25 ik pheeeeeeeeeeeeeeeeeeeee
142,Cho mình hỏi ngu cái . Khúc nói đầu_tiên của bài đây là rạp việt có phải a ươy đọc ko ?
143,BINZ VÀ SUBOI_RAP HAY NHẤT
144,Hay . Sao đời tui k có ham_muốn gì vơi RÁP luôn ấy tar
145,nghe đến thuộc lời lẫn nhịp ko sai tý nào luôn
146,Kết nhất đoạn của suboi 14 : 39 và justa tee 15 : 57
147,Good MCK
148,?
149,"Thích nhất là bài "" Giàu vì bạn , sang vì vợ "" MCK ❤ ❤ ❤"
150,0 : 33 x .
151,3 : 04 5 : 36 9 : 18
152,mới có câu bắc kim thang đã có 3 người chọn rồi
153,K có GD vs Dế choắt à
154,1 : 12
155,"tiền nhiều để làm gì dc 9,8 triệu rồi đó"
156,"có ai biết chị 10 p12 tên gì hem kkk , xinh xĩu"
157,👍 👍 👍 🤘 🤘 🤘 🤘
158,đây là loạt bài hát chục triệu view nhưng vid tổng_hợp chỉ có mấy trăm_ngàn view : Đ
159,"Hay quá , quẩy té ghế luôn"
160,Su Boy_Rap như nhạc lun hay quá
161,Like đậm nha 🥰 🥰 🥰 🥰 😊 😊 😊 😊
162,ala ela vẫn hay
163,Cụ quay_phim quá ảo_diệu .
164,sao xem video giờ nó cứ hiện cái chữ lên màn_hình làm gì ko bít
165,đỉnh của chóp ạ
166,Đúng là bài nào hay auto viral
167,ko hiểu j về rap nhưng nghe bác kim thang cuốn vl
168,Mấy bài của GDucky cũng hay mà sao ko có nhỉ
169,👍 🏻 👍 🏻 👍 🏻 👍 🏻 👍 🏻 👍 🏻 👍 🏻
170,Chết_đứng còn hơn sống quỳ .
171,Thiếu bài Hổng dám_đâu của Yuno_Bigboi
172,Nếu xếp hạnh thì gdoggy 1 mck 2 bạn có_thể nhận ra 1 cách dễ dành qua các clip
173,hội sợ vợ let go
174,Mck
175,53 : 31 Nếu được tag tên mình vào thì từ nay cấm đi thả thính lung_tung nhá . 🔸
176,Karik Ko bấm sớm vì richkistart đã từng diss karik
177,mà thấy kiểu rap love wowy ko hay chọn mà lăng ld vs linh thì chọn : ?
178,9.8
179,thề nghe karik rap xong muốn tắc thở cmn luôn
180,Dân_chơi xóm là đẳng_cấp
181,"Quăng nón vàng chi nên Ricky chọn sai HLV , đáng_lẽ từ đầu phải đội nón của Karik"
182,Đây là rap việt ai thik cho 1 like ik ạ 🥰
183,O may zing gut chop em
184,Thích nhất rhymastic
185,I love you 😘 😘 😘 ricky star
186,hiệu_ứng đau cả đầu
187,"23 : 52 Đông_lạnh này yêu em là hợp_lý , mà anh bỏ_phí thì là anh ... ngu ."
188,Đây gọi là rap
189,Mck 2 bài luôn
190,Quá là hay đến từ vị_trí của rạp Việt
191,Ko có chú bé loắt_choắt à
192,GDucky dù chưa có video lẻ nào chục triệu nhưng nếu gom tất_cả video của các kênh lại thì bản rap nào cũng được trên_dưới gần 20 tr view và ấn_tượng ❤
193,0 : 24 dạo nhạc 4 nón trên sàn . Vào nhạc vẫn quăng nón ? ? Xem từ đầu giờ xem_lại thấy kì
194,thích karick nhất luôn
195,Màn tấu hợp siêu chất
196,ai 2021 van con xem diem danh
197,MCK
198,""" Đây là Rap Việt đỉnh nhất "" . Ok 👌"
199,"0 : 00 Bắc_Kim_thang - Ricky_Star 3 : 04 Dân Chơi_Xóm - MCK-Justatee 5 : 36 Giàu vì bạn , sang vì vợ - MCK 9 : 16 Ala_Ela - Karik-Ricky_Star-Gducky"
200,Ô_hay thế à
201,Đây là best Elando VN
202,Superb .
203,CÁI BÀI GIỘNG CA VÀNG TRONG XÓM ĐI_VÀO HAY ĐÓ
204,"0326 trong câu "" 0326 anh có vợ rồi "" trong bài giàu vì bạn , sang vì vợ của anh MCK có nghĩa là sao zậy mn .. ? ? ? ?"
205,Má cái nhạc BÁC KIM_THANG ánh ảm V.L
206,"da mình thuộc da ngăm cũng một khoảng thời guan khá tự_ti về nó nên than_vãn với mn hoài là sao e cũng dùng sữa dưỡng , một_số cách trên video , sử_dụng các sp làm trắng phù_hợp với sv nhưng vẫn k trắng ._B bảo m thử dùng Thuốc_nam xem sao t dùng thấy khá oke , mình nghĩ thử thêm một sp nữa chắc cũng k ảnh_hưởng gì vì nó có nguyên_liệu tự_nhiên . Sau một_vài tháng sử_dụng mình thấy da đã khá hơn rất nhiều : trắng đều hơn , mụn nhỏ cũng k thấy nữa , lỗ chân_lông cũng khít lại hơn trước kha_khá . và mình cũng ngưng k dùng một thời_gian cũng k thấy bị đen đi nhưng bên c ấy tư_vấn nhiệt_tình quá nên mình dùng thêm sp dưỡng da bên đó nữa . Và đặc_biệt khách bên c ấy khá đông nên độ tin vậy rất cao . nếu cần thì mn liên_hệ sđt 0973564326 để được tư_vấn thêm về sp nha :)))"
207,"Mình đang kiếm lại tập 1,2 nhưng bị xóa mất_tiêu 😢 😢 😢"
208,MCK .
209,Mck no1 .
210,Thấy bth có gì mấy men làm lố ; ) )
211,Cho 2 x speed cho nó hay hơn 2 x speed = ĐỈNH CỦA THẦN JESUS
212,Queen Latifah
213,Rap hay quá
214,"Vs mình giàu vì bạn sang vì vk , vs vì em so đẹp"
215,đù nhức nách
216,Khi các huấn_luyện_viên cất giọng nghe là nghiện liền . 1 ng 1 chất riêng
217,🎹 🎹 🎹 🎹 🎹 🎹
218,mck bài nào cũng hot
219,22 triệu
220,sao nghe kĩ bài Giàu vì bạn sang vì vợ của MCK có đoạn giọng TLinh ? ?
221,Ok đấy
222,Giàu vì bạn sang vì vợ 👌 👌 👌
223,"Có_thể bạn k để_ý , trừ bài cuối thì all bài đều có_mặt của team Karik : v :))"
224,Cái gì đây ?
225,Phút thứ 7.33 có ông bị gãy họa mi hay sao mà vịnh vào chim rùi nhảy
226,Hay ghê
227,mình nghe cứ như đánh chửi_lộn
228,Theo mình thấy mấy bài này bài nào cũng rất ok
229,Bài đúng chất 😎 😎 😎
230,dinh qua ae oi
231,Ai lớp diuu MCK 😻 ✨
232,alo
233,12 h đêm nghe rap Bắc kim thang
234,Đa_số là của Ricky star và mck
235,thiếu bài tiền nhiều đẻ làm j
236,Giàu vì bạn sang vì vợ MCK 😎 😎
237,Xem lại vẫn hay
238,MCK là người rap hay nhất
239,😄 😄 😄
240,"Đang nghe rap phê , quảng_cáo ...."
241,Bây_giờ bọn nó chửi chứ hát gì 🎤 🎤 🎤 🎤 🎤 🎤 🎙 🎙 🎙 🎙 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 thằng nào nghe được nó hát gì tôi chết liền 👻 👻 👻 👻 👻 😂 😂 😂 😂 😂
242,06 : 41 Em vẫn xinh_tươi nhưng KHÔNG thuộc về ai 🖍
243,Moi dau nghe co ve hay nhug ve sau Ricky chi co mot màu
244,Tuyệt_vời
245,Iu Ricky_Star vì bài hát_bắc kim thang để in_ấn vào rap việt nghe nó rấtđăc biệt ❤ ❤ ❤ ❤ ❤
246,"day la rap viet , dinh that su"
247,Ricky star da best G
248,"Chú bé loắt_choắt 6,7 M Trái_đất này 140K Phiêu_lưu ký 4,6 M Chim_sẻ dâu_tây 4,5 M"
249,sao cu nhai di_nhai lai quai z bao nhieu cai video noi dung giong nhau roi
250,ban rap nghe thu vii
251,Cứ 10 ông thì 5 ông bảo nhí_nhố .
252,Ala ela maú nhất
253,amzing good chóp boy
254,🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰
255,"ít người viết và hiểu được câu từ Bắc Kim_Thang này . người đó thuộc thế_giới tâm_linh hoặc trực_tiếp với tâm_linh thì mới rõ được , !"
256,tôi thích 1 : 35 nhất
257,Quỳ ._Ráp như sịt vẫn đc 4 nón
258,Amayzing gút chóp
259,Mck
260,"05 : 10 Đó là anh yêu bản_thân anh , còn em thì cũng yêu anh"
261,hay nhứt lách
262,FAN TLINH_ĐÂU ! ! ! : 3
263,"04 : 30 Cần tin nhắn mỗi ngày , cần những hỏi_han quan_tâm từ ai đó để tôi biết mình đang được yêu_thương . 📳"
264,Nghe bài bắc kim thang ma_mị quá mọi người ạ
265,Nhạc nào cx hay
266,Chất giọng của Tlinh vừa cute vừa cool
267,L0p
268,Hay vãi chưởng
269,Con_trai thích yêu sớm mà sao con_gái lại thích yêu muộn nhề
270,Ko bt bj lai gióng gi
271,Toàn là team Karik ...
272,Đôi kritch hay nhất
273,Ai ở an_giang
274,Rap mck hay từ ver đầu đến ver cuối
275,01 : 00 Em vẫn xinh_tươi nhưng KHÔNG thuộc về ai 🏛
276,MCBAO
277,ma_mị quá
278,Amazing
279,MCK
280,hói hận khi nghe chả hieu j het
281,Tất_cả đều liên_quan tới Karik hoặc team Karik =)))
282,Mình thấy bài nay hay hơn tất_cả bài thi grap
283,Bật x2 phê lắm ae à !
284,Ơ mây zing GÚT_CHÓP ah
285,minh thich bai con nha nguoi ta cua RichKy_Tas
286,g.ducky hay nhất
287,Giọng miền nam rap nghe vẫn hay hơn
288,Đi dép đeo balo
289,> <
290,RPT.HS.MCK aka NGERRRRR ❤ ❤ ❤
291,Bài đầu_tiên của rap việt vẫn là hay nhất
292,vãi con gà đen
293,khazix
294,Jtee is the best
295,Ala Ela hay nhất
296,Anh binz bị điên à ? Tự_nhiên anh Ricky star đang hát thì anh binz ném mũ rồi còn quẩy như điên ấy
297,Bó_tay
298,Thiếu Yuno ad ơi
299,Bài nào cũng hay hết
300,hay quas
301,MCK
302,MCK
303,MCK
304,Amezing godjob
305,Toi tháng nó hốt tiền YouTube
306,Bài thứ 2 hay
307,Ơ ! hay nhưng cái này chiếu rồi mà
308,MCKKKK
309,Tôi k thấy quán_quân đâu cả : ( (
310,"bat x1 , 25 ] ] ] ]"
311,"nhạc này là loại nhạc gì , là loại cho người bình_thường nghe ah ?"
312,hình_như thiếu Nhiều tiền để làm gì của Vịt r :))
313,tui thich bai giau vi ban sang vi vo
314,hay quá
315,Vô_nghĩa
316,Hay chỗ Lào
317,Tuyet Voi
318,ricky star là tuyệt nhất ! ! ! ! ! ! ! !
319,Chán ko có dế choắt
320,very great
321,Tlinh giọng hay quá
322,Bắc kim thang ; ) ) ) )
323,clip tuyển_tập các bản rap chục triệu view mà lượt view chưa được 2 triệu
324,ccc
325,oh ricky star .....
326,"Mình thích "" tiền nhiều để làm gì "" nhất"
327,tUI THẤY BÀI Dân_chơi xóm hay nhất
328,"Nhạc Rap nghe thấy nhạc của anh BinZ nghe nó sâu_lắng , tình_cảm chứ của mấy ông kia cứ như kêu chợ nghe không vào lắm"
329,Bài_hát rất hay
330,Đỉnh của chóp hay hơn
331,Hay quá
332,4 : 10 ...
333,"Ricky_Star , Ricky_Star"
334,Con kia là con nào ? ?
335,01 : 01 Giá có em người_yêu để cùng đi du_lịch nhỉ ? 🎭
336,Hay thật
337,"Gducky với Yuno cũng có bài mấp_mé 10 tr . Gducky Mck_Yuno_Ricky toàn mấy ông Karik liều_mạng lôi về , Ricky lọt về Binz rồi vẫn trôi tuột về lại vào vòng_tay Karik , ta nói định_mệnh cả"
338,Bài nào của Tlinh cũng hay
339,Tui nghe mà nổi da_gà luôn 😨
340,ủa sao kh có bài riêng của Quán_Quân và Á_Quân trời ?
341,Bắc kim thang hay quá
342,Qua tuyệt_vời
343,Ale ele
344,Vẫn là Bắc Kim_Thăng độc_nhất vô nhị
345,Binz ngáo .
346,11 : 28 phê
347,05 : 24 Cần lắm một vòng_tay … 🐓
348,Ricky star
349,MCK VS_GDUCKY
350,Ố
351,du nhac nac
352,Elon Musk
353,bat toc do 1.25
354,"Trong tất_cả những bài trên 10 tr view thì MCK chiếm hết 2 bài rồi , view kinh thực_sự , tiếc là thua Ricky_Star"
355,Thấy quá bình_thường theo qđ cá_nhân
356,Rosanne Boyland
357,Nghe phiêu quá
358,vJohn Fetterman
359,Bray ? ? ? ? ?
360,"Đầu_tư vốn thấp lợi_nhuận hàng ngày . , ib zalo 0569453749 ° °"
361,MCK luôn_luôn vô địchhhhhhhhhhhhhhhhhh
362,if you want God to forgive you dont commet here just go to the church and pray . 💋 💝 💖
363,Bắc kim thang ! ! !
364,Chả ra cái ý_nghĩa con_mẹ gì
365,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
366,Tạt ca nghe ráp an buoi tao
367,Ricky star
368,GDucky
369,Lũ . M r
370,T đ nge nổi bài bắc kim thang
371,MCKMCK IS_DA_BEST
372,hay qua
373,chat
374,Que Dios nos perdone .
375,MCK hay
376,Chú bé loắt_choắt
377,Buck foy ? ? ? ? ? ? ?
378,Gducky
379,MCK is the best
380,Vân ko hay bằng uno vẫn là huyền_thoại nhất
381,Mckmck
382,"Chăm_chỉ niệm_Phật "" Nam_Mô A_Di_Đà_Phật , Nam_Mô Bổn Sư Thích_Ca Mâu Ni_Phật , Từ xưa đến nay con đã ra rất nhiều ác_nghiệp bởi muôn_thuở tham sân_si từ thân miệng ý mà phát_sinh . Hôm_nay con xin thành_tâm sám_hối , xin hãy mở đường chỉ lối cho con . "" Chăm_chỉ học_tập . chăm_chỉ lao_động lo cho cuộc_sống lao đồng , sau đó làm nhiều việc thiện sau đó học Phật_pháp tìm đến cuộc_sống giác_ngộ giải_thoát ."
383,Bài đầu_tiên vẫn hay nhất
384,Chị ở trên giống mie vậy . _ .
385,"phí 20 p cuộc_đời ngồi xem và nghe , , , , chả hiểu gì ! > < .... chắc mình đã già !"
386,Binz
387,Suboi múa kiểu chán vcl
388,Qua hay
389,Rick
390,cc
391,bài ĐI_ĐƯỜNG QUYỀN đâu
392,hay
393,Woow woow 😍 💋 💝 💖 ❤ ️
394,n
395,vẫn thấy wowy rap dở_dở sao sao á
396,Cũng đầu năm mới rôiì mọi người ạ . E cũng xin giưới thiệu sơ qua về cuộc_đời của em chút ạ . em là Mỹ_Lệ năm nay cũng 45 tuổi rồi . bây_giờ em đang làm_việc tại hàn quốc ạ . cũng chả may may gì nhiều tầm 1 năm trước em nói_thẳng là em có làm_ăn thua_lỗ gần 500 tr . cái cảnh_xa thương cầu_thực thì chắc mọi người cũng hiểu . còn tiền ăn_tiền nhà rồi tiền nuôi con_cái đủ thứ . em thì là con_gái mà vỡ_nợ . nên cũng có chơi lô đề nhưng k ngờ cứ mua số rồi lại thêm nợ thêm nựa . đi vay_mượn bạn_bè các thứ rồi cũng vỡ thêm 300 tr nựa tổng_số nợ lên đến 800 tr . lúc ấy em chỉ nghĩ đến cái chết thôi . nhưng tình_cờ biết đc zalo 0705455062 lúc đầu thì em cũng chỉ vào thử số k dám mua đâu nhưng ng ta nói số có căcn cứ với các kiểu em cũng thử vận may của mình 1 lần nữa xem sao . nếu k đc thì chỉ có tìm đến cái chết . k ngờ là lần lấy đầu_tiên a ấy cho song thủ đề ăn đc thật các bác ạ . đúng em xem ngta như ân_nhân cứu mạng của em luôn ý . bác ấy đã giúp được em gỡ sạch_nợ và hiện_tại có dư thêm 300 tr để sinh_sống . đúng bây_giờ k biết nói gì hơn chỉ biết cách đi quảng_cáo để những người có hoàn_cảnh như em trước_kia được bác ấy giúp gỡ nợ ạ . zalo bác ý là 0705455062 chúc mọi người gỡ được nợ và ăn 1 cái tết ngon_lành ạ . em cảm_ơn mọi người nhiều ạ
397,hay
398,tao khong hieu nos hay con cat gi luon
399,Mình thích bài thứ 2
400,Mik ko thích bắc kim thang tý nào nghe nó kì kì . Dân_chơi xóm hay hơn
401,"MCK , GDucky , Dế_Choắt is the best"
402,Hay
403,MCK
404,Bon bệnh_hoạn Việt nam
405,Warriors
406,Nghe nhạc như cắn vào đít chả hiểu j
407,Sh .... it
408,Quán_quân không dính bài nào 😐 😐
409,có ai đéo thích rap như tao ko ?
410,Nhac nghe như đấm vào tai .
411,Hay quá nhưng cơn mạnh hơn 😀 😀 😲 😲 👍 👍 👍 😱 💋 💕 💕 💯 😃
412,Đọc kinh à bạn . cữa chùa luôn mỡ cữa chào_đón bạn ...
413,Hay quá 😝 😝 😝 😝 😝 😝 😝 😝 😝 😝 😝 😝 😝 😝 😆 😆 😆 😆 😆 😆 😆 😆 😆 😆 😆 😆 😆 😆
414,phải nói là kinh_dị tởm . ko ra thể_thống cống rảnh gì
415,Thua hết lisadi
416,Bài đầu chán mà sao nhiều người khen hay ? : l
417,thật_sự là t đéo thể hiểu nổi cái loại rap kiểu gì . nghe như đấm vào tai . thề
418,"Nghe ngang như cua , chả biết hay chỗ nào ._Bài đầu_tiên ấy 😝"
419,nhạc xàm
420,Nghe này chán thật_sự ko hay 😩 😩 😩 😩
